project_id,project_name,days_remaining,project_manager,team_size,avg_velocity,completed_tasks,total_tasks,completion_rate,avg_utilization_pct,delayed_flag
23,Visualize Customized Roi,39,Lindsey Conley,5,56.4,107,117,91.45299145299145,99,1
24,Mesh Frictionless E-Tailers,23,Ronald Roberts,10,57.2,26,26,100.0,75,0
25,Evolve 24/7 Mindshare,41,Ivan Jimenez,12,22.6,52,98,53.06122448979592,83,1
26,Streamline 24/365 Convergence,17,Jared Curtis,5,20.6,41,137,29.927007299270077,88,1
27,Empower Dynamic Models,20,Hannah Kelley,5,58.4,196,271,72.32472324723247,77,0
28,Engineer Transparent Networks,30,James Singh,9,50.2,21,27,77.77777777777779,91,1
29,Aggregate Cutting-Edge Applications,26,Benjamin Flores,14,26.6,153,248,61.693548387096776,82,1
30,Streamline World-Class Niches,23,Michelle Rhodes,12,31.2,120,209,57.41626794258373,98,1
31,Re-Intermediate B2B E-Tailers,17,Ivan Long,7,14.8,105,109,96.3302752293578,64,0
32,Evolve Enterprise Supply-Chains,28,Todd Mitchell,7,40.4,37,119,31.092436974789916,76,1
33,Deliver Interactive Applications,57,Jennifer Erickson,10,25.0,70,122,57.377049180327866,60,1
34,Revolutionize E-Business Content,44,Sarah Thomas,12,28.6,111,182,60.98901098901099,93,1
35,Cultivate Distributed Communities,49,Daniel Jacobson,4,51.8,126,180,70.0,97,1
36,Incubate Vertical Methodologies,51,Tyrone Anderson,10,56.0,94,109,86.23853211009175,91,1
37,Expedite Efficient E-Markets,47,Justin Sullivan,8,40.8,112,121,92.56198347107438,88,0
38,Extend Bricks-And-Clicks Vortals,26,Thomas Robertson,9,53.2,165,209,78.94736842105263,66,0
39,Redefine One-To-One E-Business,46,Preston Jackson,4,41.4,97,132,73.48484848484848,93,1
40,Harness Dot-Com Niches,35,Barbara Smith,10,40.6,164,220,74.54545454545455,80,0
41,Implement B2C E-Commerce,55,Brandon Rodriguez,10,43.4,42,51,82.35294117647058,81,0
42,Enhance Turn-Key Technologies,48,Sandra Myers,9,25.4,157,193,81.34715025906736,84,0
43,Maximize Plug-And-Play Web-Readiness,41,Edward Fisher,5,42.6,31,113,27.43362831858407,83,1
44,Productize Efficient Synergies,42,Eddie Foster,4,48.0,187,226,82.7433628318584,77,0
45,Aggregate 24/365 Models,23,Corey Martin,13,56.0,124,205,60.48780487804878,63,1
46,Implement Customized Niches,35,Sabrina King,11,54.2,43,116,37.06896551724138,65,1
47,Seize Next-Generation Schemas,27,Amber Cameron,3,38.8,54,140,38.57142857142858,62,1
48,Cultivate Transparent Models,53,Michael Weber,3,39.2,96,165,58.18181818181818,65,1
49,Expedite Killer Methodologies,21,Jack Lopez,4,39.6,159,243,65.4320987654321,97,1
50,Monetize Sticky E-Services,48,Christopher Stafford,11,40.2,81,158,51.26582278481012,85,1
51,Brand Leading-Edge Communities,43,James Williams,7,47.2,196,253,77.4703557312253,61,0
52,Exploit Turn-Key Eyeballs,52,Jimmy Ryan,5,41.2,134,185,72.43243243243244,72,0
53,Maximize Strategic Deliverables,44,Corey Thompson,13,53.2,78,175,44.57142857142857,62,1
54,Synthesize Proactive E-Commerce,35,Donna Stevens,12,41.0,50,110,45.45454545454545,81,1
55,Extend Killer Convergence,5,Michael Rios,10,29.0,185,200,92.5,85,0
56,Orchestrate Virtual Portals,21,James Collins,12,36.4,162,164,98.78048780487805,67,0
57,Morph Frictionless Web-Readiness,39,David Gonzales,4,22.2,175,186,94.08602150537635,65,0
58,Engineer Distributed Channels,29,Jason Matthews,14,41.2,179,215,83.25581395348837,94,1
59,Transform 24/365 Markets,29,Megan Mitchell,6,34.8,38,59,64.40677966101694,73,1
60,Envisioneer Distributed Solutions,20,Adam Gonzales,7,47.6,102,169,60.35502958579882,95,1
61,Whiteboard One-To-One Communities,54,Rodney Mullins,9,22.4,143,229,62.44541484716157,90,1
62,Deliver Cross-Platform Info-Mediaries,23,Ariel Morse,4,51.6,158,242,65.28925619834712,67,1
63,Reinvent Efficient Infrastructures,41,Charlene Thomas,11,32.4,183,221,82.80542986425338,66,0
64,Synthesize World-Class Schemas,56,Stacy Strong,6,50.4,62,154,40.25974025974026,83,1
65,Revolutionize Proactive Interfaces,30,Roger Sawyer,10,32.4,171,191,89.52879581151832,86,0
66,Maximize Interactive Architectures,23,Maurice Carter,10,34.8,70,133,52.63157894736842,94,1
67,Revolutionize Collaborative Platforms,6,Michael Calhoun,4,32.4,79,143,55.24475524475524,60,1
68,Visualize Leading-Edge Methodologies,18,Michael Riley,10,18.8,103,118,87.28813559322035,64,0
69,Strategize Cutting-Edge Info-Mediaries,9,Devin Wood,12,32.0,167,236,70.76271186440678,83,0
70,Monetize Customized Portals,28,James Livingston,11,25.2,70,78,89.74358974358975,62,0
71,Optimize Collaborative Roi,53,Joseph Rivera,7,38.0,142,169,84.02366863905326,66,0
72,Deliver Synergistic Content,10,Jordan Andrews MD,12,38.4,125,208,60.09615384615385,99,1
73,Enhance Best-Of-Breed Synergies,57,Whitney Hanson DDS,10,33.2,75,84,89.28571428571429,74,0
74,Re-Contextualize Frictionless Relationships,36,Daniel Castro,10,56.0,158,207,76.32850241545893,85,0
75,Benchmark Compelling Experiences,27,Daniel Carroll,12,36.8,114,204,55.88235294117647,83,1
76,Revolutionize Open-Source Markets,30,Sandra Higgins,13,26.8,184,280,65.71428571428571,89,1
77,Benchmark Turn-Key Action-Items,25,Kimberly Rangel,10,39.4,84,103,81.55339805825243,74,0
78,Streamline Integrated Architectures,10,Patricia Ewing,10,47.0,174,247,70.44534412955466,61,0
79,Iterate Bleeding-Edge Deliverables,43,Abigail Ortiz,6,29.4,127,202,62.87128712871287,60,1
80,Redefine Mission-Critical Supply-Chains,9,Traci Carter,9,23.8,194,238,81.5126050420168,78,0
81,Deploy Scalable Mindshare,19,Andrew Dodson,12,32.4,62,74,83.78378378378379,61,0
82,Transition Revolutionary Communities,30,Michael Bartlett,8,34.4,164,249,65.86345381526104,63,1
83,Optimize Vertical Methodologies,48,Sonya Johns,5,52.8,21,106,19.81132075471698,70,1
84,Revolutionize 24/7 Experiences,22,James Morgan,14,38.4,95,146,65.06849315068493,66,1
85,Facilitate Integrated Eyeballs,14,Diamond Burns,12,45.0,103,194,53.09278350515464,76,1
86,Facilitate Integrated Systems,28,Bryce Jackson,11,38.8,195,234,83.33333333333334,96,1
87,Facilitate Transparent Initiatives,21,Vincent Weeks,12,31.4,165,192,85.9375,87,0
88,Generate Compelling E-Commerce,34,Lance Key,4,22.4,145,229,63.31877729257642,90,1
89,Implement One-To-One Functionalities,25,Erin Bird,13,22.6,55,63,87.3015873015873,94,1
90,Innovate Robust E-Services,14,Taylor Becker,11,33.8,124,219,56.62100456621004,83,1
91,Leverage Collaborative Platforms,5,Vanessa Santiago,5,29.4,144,158,91.13924050632912,96,1
92,Benchmark Customized Partnerships,58,Scott Rowe,11,36.0,42,100,42.0,70,1
93,Transform Killer Portals,42,Michael Wilkins,5,29.8,97,102,95.09803921568627,85,0
94,Aggregate Intuitive Platforms,52,Patrick Rodriguez,7,45.6,150,184,81.52173913043478,76,0
95,Transition B2B Applications,6,Victor Moore,11,53.8,97,130,74.61538461538461,64,0
96,Evolve Virtual Web-Readiness,4,John Wright,10,56.4,147,211,69.66824644549763,64,1
97,Reinvent Distributed Technologies,40,Diane Weiss,12,18.4,113,119,94.9579831932773,97,1
98,Brand Seamless Models,23,Lisa Lewis,12,49.4,54,97,55.670103092783506,84,1
99,Strategize B2C Communities,52,Michael Brown,13,19.2,37,75,49.333333333333336,68,1
100,Extend Transparent E-Tailers,18,Vanessa Nguyen,9,44.4,36,87,41.37931034482759,61,1
101,Incentivize Wireless Vortals,50,Joshua King,6,34.0,51,123,41.46341463414634,85,1
102,Revolutionize Interactive Paradigms,20,Sean Donaldson,4,50.2,30,32,93.75,87,0
103,Incentivize Strategic Convergence,13,Adam Wyatt,3,30.0,115,160,71.875,66,0
104,Transform Bleeding-Edge Roi,49,Scott Poole,4,31.2,132,180,73.33333333333333,80,0
105,Facilitate Web-Enabled Initiatives,12,Tina Maxwell,4,58.2,120,173,69.36416184971098,86,1
106,Revolutionize World-Class Info-Mediaries,44,Michael Taylor,11,46.2,159,224,70.98214285714286,95,1
107,Innovate Bleeding-Edge Roi,37,Jason Patton,9,23.8,104,134,77.61194029850746,99,1
108,Reinvent 24/365 Action-Items,31,Michelle Oliver,14,23.6,187,236,79.23728813559322,61,0
109,Seize World-Class Action-Items,8,Richard Robinson,14,12.4,80,152,52.63157894736842,68,1
110,Redefine Customized Synergies,8,Darren Torres,4,26.6,49,133,36.84210526315789,82,1
111,Enable Value-Added Applications,22,Randy Brewer,13,41.8,64,97,65.97938144329896,79,1
112,Engage Seamless Schemas,58,Ashley Garcia,3,43.4,188,196,95.91836734693877,63,0
113,Aggregate Customized Roi,37,Brent Williams,13,31.6,164,221,74.2081447963801,60,0
114,Transform Next-Generation Portals,12,Donald Fisher,4,47.6,145,148,97.97297297297297,61,0
115,Incentivize Rich Platforms,27,Brenda Jackson,6,52.8,117,210,55.714285714285715,74,1
116,Embrace One-To-One E-Business,18,Holly Davis,5,51.0,39,100,39.0,94,1
117,Drive Collaborative Portals,37,Eric Morrison,8,65.4,62,86,72.09302325581395,68,0
118,Synthesize Turn-Key Convergence,14,Kaitlin Hernandez,13,44.8,124,181,68.50828729281768,81,1
119,Enhance Real-Time Supply-Chains,53,Tracy Clark MD,3,48.0,105,201,52.23880597014925,76,1
120,Expedite Collaborative Synergies,54,Darren Mclaughlin,8,19.4,42,80,52.5,80,1
121,Utilize Integrated E-Tailers,9,Jennifer Walker,12,40.8,167,185,90.27027027027027,82,0
122,Embrace Rich Vortals,58,Stacey Page,7,47.6,179,266,67.29323308270678,88,1
123,Syndicate Virtual Content,39,Denise Glover,6,35.2,58,112,51.78571428571429,89,1
124,Expedite User-Centric Action-Items,24,Chad Fuller,9,51.8,106,119,89.07563025210085,77,0
125,Optimize Back-End Communities,47,Jason Christian,12,35.0,113,164,68.90243902439023,69,1
126,Aggregate Bricks-And-Clicks Content,35,April Willis,4,34.8,170,170,100.0,61,0
127,Optimize Leading-Edge Eyeballs,24,Paul Thomas,7,56.2,76,111,68.46846846846847,87,1
128,Transition Scalable Action-Items,37,Jordan Jensen,7,38.6,81,142,57.04225352112676,92,1
129,Engage Seamless Applications,28,William Williams,9,44.2,45,136,33.088235294117645,76,1
130,Unleash Magnetic Metrics,21,Lori Pierce,12,41.2,74,99,74.74747474747475,69,0
131,Engage 24/365 Metrics,1,Austin Taylor,14,20.8,199,199,100.0,87,1
132,Syndicate Integrated E-Markets,54,Lisa Gray,5,54.6,64,161,39.75155279503105,87,1
133,Innovate Scalable Functionalities,20,Miguel Reid,7,38.8,170,248,68.54838709677419,97,1
134,Harness Best-Of-Breed Systems,15,Logan Cole,9,35.6,23,49,46.93877551020408,96,1
135,Orchestrate Granular Schemas,33,Thomas Mendez,3,27.6,39,115,33.91304347826087,91,1
136,Brand Real-Time Paradigms,50,Kimberly Cox,7,55.4,22,80,27.500000000000004,75,1
137,Leverage E-Business Schemas,21,John Dickson,12,49.2,197,198,99.4949494949495,98,1
138,Deploy Back-End Bandwidth,2,Anita Riley,3,45.0,43,107,40.18691588785047,84,1
139,Architect Revolutionary Roi,3,Raymond Hunt,6,29.8,118,134,88.05970149253731,92,1
140,Cultivate Virtual Markets,4,Amanda Blake,4,49.8,101,145,69.6551724137931,80,1
141,Redefine Plug-And-Play Info-Mediaries,2,Joseph Hunt,10,29.2,123,195,63.07692307692307,61,1
142,Re-Contextualize B2B Niches,23,John Wilson,9,23.4,157,185,84.86486486486487,90,0
143,Redefine Proactive Architectures,7,Kimberly James,13,25.4,153,220,69.54545454545455,94,1
144,Cultivate Customized E-Tailers,31,Carly Griffin,14,40.8,91,97,93.81443298969072,74,0
145,Engineer Front-End Web-Readiness,11,Kayla Padilla,7,50.8,178,228,78.0701754385965,88,0
146,Re-Intermediate B2B E-Services,54,Mikayla Frey,3,53.8,64,154,41.55844155844156,76,1
147,Deliver Magnetic Supply-Chains,24,James Ball,14,26.2,56,85,65.88235294117646,83,1
148,Maximize Integrated E-Commerce,43,Jonathan Ryan,10,42.8,72,96,75.0,72,0
149,Extend Wireless Networks,57,Jeremy Gillespie,8,47.4,50,117,42.73504273504273,92,1
150,Optimize Frictionless Niches,14,Melvin Fry,12,37.8,31,100,31.0,80,1
151,Re-Contextualize Ubiquitous Applications,19,Kevin Medina,12,44.8,98,141,69.50354609929079,91,1
152,Engineer Extensible Metrics,9,Mr. Cody Coleman,6,21.6,148,244,60.65573770491803,75,1
153,Benchmark Granular Bandwidth,38,Michael Reyes,9,34.8,42,102,41.17647058823529,93,1
154,Unleash Granular Paradigms,10,Diana Hernandez,8,52.8,88,159,55.34591194968554,91,1
155,Seize Robust Niches,33,Claudia Sharp,13,26.0,134,225,59.55555555555555,64,1
156,Extend World-Class E-Services,1,Alicia Mercer,13,50.4,27,111,24.324324324324326,89,1
157,Embrace Mission-Critical Applications,38,Sara Rodriguez,7,52.2,173,263,65.77946768060836,74,1
158,Streamline Killer Infrastructures,6,Thomas Phillips,9,26.4,66,115,57.391304347826086,69,1
159,Target 24/365 Partnerships,53,Tracey Bridges MD,7,41.0,199,275,72.36363636363636,73,0
160,Implement Interactive Infrastructures,8,Sherri Payne,12,49.2,156,227,68.72246696035242,85,1
161,Harness 24/365 Deliverables,33,Jonathan Norris,10,18.6,128,210,60.952380952380956,62,1
162,Benchmark Real-Time Bandwidth,15,James Edwards,3,43.8,23,98,23.46938775510204,78,1
163,Seize Extensible Metrics,15,Benjamin Parker,14,16.2,102,193,52.84974093264248,90,1
164,Incentivize Real-Time Solutions,19,Sarah Walton,10,33.2,20,43,46.51162790697674,80,1
165,Evolve Out-Of-The-Box Mindshare,43,Deborah Braun,7,32.6,150,222,67.56756756756756,86,1
166,Disintermediate Out-Of-The-Box Web-Readiness,8,Melinda Johns,6,43.6,66,160,41.25,78,1
167,Innovate Bleeding-Edge Web-Readiness,23,Michael Burch,3,33.4,82,85,96.47058823529412,81,0
168,Seize B2C Experiences,40,Stephanie Morrow,4,25.8,120,138,86.95652173913044,96,1
169,Synergize Frictionless Web Services,9,Julie Atkins,4,31.2,81,136,59.55882352941176,87,1
170,Streamline Viral Roi,15,Erica Smith,11,35.4,130,195,66.66666666666666,98,1
171,Deliver Holistic Content,52,Jasmine Anderson,11,31.2,161,243,66.2551440329218,83,1
172,Redefine Sticky Relationships,49,John Olson,13,22.4,86,104,82.6923076923077,82,0
173,Incentivize Integrated Experiences,43,Scott White,5,24.0,154,158,97.46835443037975,83,0
174,Iterate Value-Added Supply-Chains,22,Erica Flores,9,39.6,76,133,57.14285714285714,73,1
175,Engineer Turn-Key Action-Items,32,Michael Melendez,8,54.8,121,164,73.78048780487805,78,0
176,Leverage Cutting-Edge Relationships,40,Brenda Greene,7,29.8,123,170,72.35294117647058,96,1
177,Whiteboard Front-End Deliverables,35,Mark Jimenez,8,46.8,163,233,69.95708154506438,75,1
178,Extend Leading-Edge Action-Items,10,David Harris,12,28.2,192,210,91.42857142857143,86,0
179,Cultivate B2C E-Markets,21,Danny Peters,5,64.0,192,279,68.81720430107528,77,1
180,Transition End-To-End Niches,27,Heather Collins,10,21.2,102,122,83.60655737704919,80,0
181,Grow Ubiquitous E-Business,30,Mark Lawrence,14,52.8,137,172,79.65116279069767,70,0
182,Morph Efficient E-Commerce,9,Michael Walker,11,47.2,44,79,55.69620253164557,73,1
183,Implement Efficient Vortals,39,Brian Martin,9,54.2,136,204,66.66666666666666,83,1
184,Brand Frictionless Communities,44,Jeffrey Hill,6,32.2,117,214,54.67289719626168,93,1
185,Iterate Killer Eyeballs,32,Isaiah Boyle,10,22.4,41,132,31.060606060606062,75,1
186,Re-Contextualize Viral E-Tailers,11,Andrew Kemp,5,21.4,63,108,58.333333333333336,73,1
187,Visualize Transparent E-Business,23,Cheryl Collins,5,51.0,39,65,60.0,85,1
188,Matrix One-To-One Portals,38,Amy Smith,3,62.6,174,258,67.44186046511628,92,1
189,Drive Cutting-Edge Web Services,45,Elizabeth Lang,6,44.0,81,129,62.7906976744186,86,1
190,Revolutionize B2C Portals,10,Amanda Reed,4,58.2,155,209,74.16267942583733,62,0
191,Productize Plug-And-Play Action-Items,26,Brett Soto,4,51.6,75,129,58.139534883720934,71,1
192,Streamline Extensible Portals,8,Lawrence Clay,12,33.8,45,136,33.088235294117645,86,1
193,Whiteboard Collaborative Eyeballs,42,Kristi Cook,10,21.4,103,164,62.80487804878049,72,1
194,Redefine Web-Enabled Interfaces,14,Danielle Li,11,55.4,177,238,74.36974789915966,72,0
195,Re-Intermediate B2B Content,31,Rachael Stein,4,45.4,157,171,91.81286549707602,95,1
196,Whiteboard Wireless Action-Items,18,Amanda Lewis,6,55.2,63,87,72.41379310344827,66,0
197,Maximize Plug-And-Play Action-Items,5,Nicole Ellis,6,38.6,77,163,47.239263803680984,93,1
198,Embrace Open-Source Mindshare,13,Alexis Rivera,12,25.4,71,85,83.52941176470588,94,1
199,Enhance Out-Of-The-Box Synergies,54,Rachel White,9,24.8,163,223,73.09417040358744,69,0
200,Embrace B2B Functionalities,4,James Allen,6,38.0,115,188,61.170212765957444,91,1
201,Morph Vertical Eyeballs,16,Lindsey Fitzpatrick,4,29.0,120,196,61.224489795918366,74,1
202,Transform Granular Roi,12,Zachary Ross,3,55.2,25,100,25.0,86,1
203,Monetize Web-Enabled E-Services,59,John Villegas,7,30.2,47,47,100.0,92,1
204,Redefine Revolutionary Metrics,24,Jason Camacho,12,41.0,80,140,57.14285714285714,80,1
205,Transform Collaborative Synergies,5,Shaun Evans,4,48.6,92,165,55.757575757575765,60,1
206,Scale User-Centric Users,16,Jeffrey Gibson,4,34.4,59,81,72.8395061728395,73,0
207,Exploit Global Supply-Chains,1,Mr. Jason Todd MD,10,42.8,40,64,62.5,89,1
208,Target Value-Added Web-Readiness,15,Patricia Mccoy,4,54.6,186,241,77.17842323651453,75,0
209,Re-Contextualize Magnetic Web-Readiness,32,Hector Wright,12,24.0,29,110,26.36363636363636,87,1
210,Synergize Compelling Bandwidth,30,Samuel Arias,10,28.8,193,254,75.98425196850394,92,1
211,Strategize Cutting-Edge Vortals,3,Kenneth Smith,14,30.6,193,231,83.54978354978356,77,1
212,Whiteboard Open-Source Portals,28,Crystal Smith,13,34.8,56,81,69.1358024691358,96,1
213,Extend Enterprise Functionalities,22,Melissa Gregory,12,57.2,59,124,47.58064516129033,60,1
214,Drive Virtual Interfaces,5,Crystal Hughes DDS,12,30.2,44,101,43.56435643564357,88,1
215,Redefine B2C E-Markets,5,John Knapp,14,55.2,74,160,46.25,77,1
216,Evolve Mission-Critical Convergence,56,Misty Clark,8,14.4,186,282,65.95744680851064,80,1
217,Engage Impactful Applications,22,Devin Winters,12,47.8,37,125,29.599999999999998,78,1
218,Enhance User-Centric Channels,14,David Hamilton,11,48.4,180,222,81.08108108108108,99,1
219,Matrix Turn-Key Vortals,44,Samantha Cunningham,14,32.4,185,203,91.13300492610837,81,0
220,Implement B2B Interfaces,5,Tina Lewis,7,39.6,129,144,89.58333333333334,96,1
221,Syndicate Web-Enabled Metrics,6,Dustin Davis,10,53.6,144,185,77.83783783783784,96,1
222,Enable Impactful Convergence,37,Barbara Hill,4,39.2,182,213,85.44600938967136,81,0
223,Morph Next-Generation Applications,49,Colleen Diaz,12,61.2,54,136,39.705882352941174,89,1
224,Disintermediate Dynamic Methodologies,50,Jerome Butler,4,46.8,107,163,65.6441717791411,65,1
225,Repurpose Transparent Synergies,28,Mitchell Tyler,9,28.8,133,155,85.80645161290322,83,0
226,Expedite World-Class Synergies,17,Donald Wise,10,40.8,98,120,81.66666666666667,65,0
227,Harness Out-Of-The-Box Interfaces,44,Emily Howard,5,35.6,166,240,69.16666666666667,60,1
228,Expedite Bricks-And-Clicks Eyeballs,55,Eric Berry,13,24.0,96,131,73.2824427480916,85,0
229,Generate User-Centric Roi,17,Jeremy Howard,9,57.8,185,185,100.0,76,0
230,Seize Efficient Web-Readiness,53,Ryan Miller,6,38.4,85,138,61.59420289855072,95,1
231,Incentivize Visionary Deliverables,37,James Miller,11,37.8,174,178,97.75280898876404,67,0
232,Innovate Leading-Edge Content,58,Joshua Green,14,15.6,162,248,65.32258064516128,87,1
233,Grow One-To-One Relationships,2,Heather Garcia,3,24.4,55,101,54.45544554455446,85,1
234,Aggregate Integrated Interfaces,26,Jill Smith,10,50.8,72,165,43.63636363636363,83,1
235,Incubate Global Functionalities,38,Jessica Schmidt,3,45.4,175,251,69.7211155378486,66,1
236,Redefine Revolutionary Solutions,27,Elizabeth Bailey,13,34.2,91,189,48.148148148148145,77,1
237,Harness Bleeding-Edge Relationships,10,Linda Mcmillan,4,48.2,85,98,86.73469387755102,84,0
238,Matrix Magnetic Infrastructures,58,Joseph Munoz,13,54.4,180,235,76.59574468085107,77,0
239,Engineer Best-Of-Breed Models,13,Kimberly Walker,9,49.2,113,172,65.69767441860465,62,1
240,Syndicate Enterprise Niches,44,Kimberly Andrews,11,44.4,128,207,61.83574879227053,65,1
241,Brand Next-Generation Bandwidth,18,Amanda White,8,51.4,166,233,71.24463519313305,78,0
242,Seize Leading-Edge Vortals,32,Connor Morris,11,36.2,95,121,78.51239669421489,97,1
243,Enable Compelling Architectures,15,Thomas Jackson,11,49.6,169,221,76.47058823529412,82,0
244,Empower Rich Action-Items,5,Fred Christian,6,46.6,159,228,69.73684210526315,91,1
245,Streamline Extensible Users,26,Paul Richards,6,54.8,99,119,83.19327731092437,76,0
246,Facilitate World-Class Action-Items,22,John Baker,7,41.6,58,98,59.183673469387756,83,1
247,Facilitate Holistic Paradigms,24,Joseph Stein,6,38.8,71,164,43.292682926829265,99,1
248,Unleash Integrated Synergies,12,Dean Ryan,13,38.4,100,103,97.0873786407767,87,0
249,Mesh Cross-Platform Web Services,24,Todd Moore,11,20.8,116,146,79.45205479452055,76,0
250,Maximize Collaborative Niches,28,Kimberly Fry,12,22.4,94,151,62.251655629139066,81,1
251,Mesh Best-Of-Breed E-Commerce,16,Amanda Lambert,13,52.6,152,234,64.95726495726495,73,1
252,Brand Back-End Synergies,29,Patricia Macias,14,56.8,57,120,47.5,70,1
253,Benchmark Sticky Networks,49,Melissa Perez,6,31.0,172,184,93.47826086956522,97,1
254,Enhance Distributed Paradigms,14,Gabriela Benson,7,26.2,143,241,59.33609958506224,73,1
255,Evolve Strategic E-Services,8,Matthew Fisher,11,50.0,103,106,97.16981132075472,61,0
256,Utilize Holistic Networks,22,Karen Brown,8,24.0,37,103,35.92233009708738,82,1
257,Innovate User-Centric Initiatives,16,Lisa Morris,3,55.2,47,132,35.60606060606061,82,1
258,Streamline Dot-Com Deliverables,39,Ann Wright,5,54.8,73,124,58.87096774193549,78,1
259,Harness E-Business E-Business,40,Brian Wang,13,41.6,44,54,81.48148148148148,76,0
260,Syndicate Enterprise Markets,20,Courtney Shaw,4,19.2,116,168,69.04761904761905,82,1
261,Productize E-Business E-Markets,8,Stephen Contreras,11,43.0,54,91,59.34065934065934,85,1
262,Engineer Virtual Partnerships,15,Nicole Hart,7,56.0,97,99,97.97979797979798,74,0
263,Matrix Intuitive Technologies,16,Raymond Mclaughlin,7,34.8,26,122,21.311475409836063,99,1
264,Brand User-Centric Networks,4,David Mcguire,6,45.4,120,203,59.11330049261084,89,1
265,Orchestrate Enterprise Relationships,34,Howard Juarez,8,31.2,116,174,66.66666666666666,91,1
266,Incubate Killer Content,22,Joshua Marquez,7,31.4,31,75,41.333333333333336,83,1
267,Strategize Plug-And-Play Roi,35,Gregory Hamilton,5,24.0,189,283,66.78445229681978,86,1
268,Benchmark Transparent Info-Mediaries,51,Rachel Martinez,11,47.0,187,268,69.77611940298507,88,1
269,Facilitate User-Centric Architectures,56,Charles Mcgrath,9,25.2,37,118,31.35593220338983,89,1
270,Productize Rich Systems,34,Miranda Myers,13,33.8,146,188,77.6595744680851,97,1
271,Synthesize Synergistic Architectures,21,Monica Lopez,14,24.8,35,122,28.688524590163933,94,1
272,Target Dot-Com Vortals,28,Barbara Gray,13,40.2,84,157,53.503184713375795,68,1
273,Scale Value-Added Channels,49,Dana Moore,4,23.4,54,135,40.0,67,1
274,Generate Efficient Metrics,5,Steven White,6,31.6,114,213,53.52112676056338,60,1
275,Empower Cutting-Edge E-Business,1,Spencer Hodge,9,50.4,75,95,78.94736842105263,86,1
276,Redefine One-To-One Applications,1,Robin Hickman,5,39.8,159,233,68.24034334763948,93,1
277,Embrace Impactful Models,56,Timothy Cole,14,48.8,120,158,75.9493670886076,84,0
278,Enable Web-Enabled Schemas,44,Alexander Schwartz,9,20.4,117,204,57.35294117647059,85,1
279,Engage Interactive Supply-Chains,28,Luke Mack,13,39.0,146,236,61.86440677966102,97,1
280,Maximize Robust Systems,14,Matthew Rogers,7,18.8,91,120,75.83333333333333,96,1
281,Iterate Collaborative Channels,25,Tyler Pham,6,49.6,156,171,91.22807017543859,99,1
282,Benchmark Seamless Channels,59,Melissa Norton,12,61.2,26,90,28.888888888888886,86,1
283,Architect Distributed Content,29,Jenna Kelly,14,57.4,55,69,79.71014492753623,88,0
284,Mesh Interactive Methodologies,54,Casey Moore,9,32.0,97,192,50.520833333333336,86,1
285,Utilize 24/365 Relationships,30,Robert Krueger,7,38.0,191,198,96.46464646464646,97,1
286,Utilize Visionary Info-Mediaries,19,John Campbell,12,54.0,182,208,87.5,85,0
287,Streamline Out-Of-The-Box Convergence,4,Ethan Medina,12,67.4,172,253,67.98418972332016,63,1
